SCHOOL,% PASSED
ABADA COLLEGE,44.83%
ABE INTERNATIONAL COLLEGE OF BUSINESS & ACCOUNTANCY-MALOLOS,0.00%
ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS-RECTO,100.00%
ABELLANA COLLEGE OF ARTS & TRADE,0.00%
ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)-BANGUED,39.58%
ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)-LAGANGILANG,36.36%
ABRA VALLEY COLLEGE,0.00%
ABUBAKAR COMPUTER LEARNING CENTER,0.00%
ABUYOG COMMUNITY COLLEGE,66.67%
ACADEMIA DE SAN LORENZO DEMA-ALA,75.00%
ACES TAGUM COLLEGE,44.44%
ADAMSON UNIVERSITY,52.94%
ADELPHI COLLEGE,0.00%
ADIONG MEMORIAL COLLEGE FOUNDATION,100.00%
ADIONG MEMORIAL POLYTECHNIC STATE COLLEGE,14.29%
ADVENTIST UNIVERSITY OF THE PHILIPPINES,42.22%
AEMILIANUM INSTITUTE,33.33%
AGO FOUNDATION COLLEGE,57.14%
AGO MEDICAL & EDUCATIONAL CENTER- BICOL CHRISTIAN COLL.OF MED,90.00%
"AGONCILLO COLLEGE, INC",40.00%
AGRO-INDUSTRIAL FOUNDATION COLLEGES OF THE PHILIPPINES,14.29%
AGUILAR COLLEGE FOUNDATION,0.00%
AGUSAN COLLEGES,25.00%
AGUSAN DEL SUR COLLEGE,33.33%
AGUSAN DEL SUR STATE COLLEGE OF AGRICULTURE & TECHNOLOGY,39.29%
AGUSAN INSTITUTE OF TECHNOLOGY,18.18%
AIE COLLEGE,100.00%
AKLAN CATHOLIC COLLEGE-KALIBO,44.83%
AKLAN COLLEGE,50.00%
AKLAN POLYTECHNIC INSTITUTE,100.00%
AKLAN STATE UNIVERSITY(AKLAN S.C.A.)-BANGA,43.33%
AKLAN STATE UNIVERSITY-IBAJAY,63.33%
AKLAN STATE UNIVERSITY-KALIBO,24.39%
AKLAN STATE UNIVERSITY-MAKATO,31.03%
