SCHOOL,% PASSED
ABAD SANTOS EDUCATIONAL INSTITUTION,0.00%
ABADA COLLEGE,31.93%
ABE INTERNATIONAL COLL. OF BUS. & ACCOUNTANCY-TACLOBAN,0.00%
ABE INTERNATIONAL COLLEGE OF BUSINESS & ACCOUNTANCY- MALOLOS,0.00%
ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS- BACOLOD,0.00%
ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS- CABANATUAN,100.00%
ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS- CAINTA,0.00%
ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS- LUCENA,100.00%
ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS- RECTO,0.00%
ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS- TACLOBAN,100.00%
ABELLANA COLLEGE OF ARTS & TRADE,0.00%
ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)-BANGUED,12.99%
ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)-LAGANGILANG,12.12%
ABRA VALLEY COLLEGE,0.00%
ABUBAKAR COMPUTER LEARNING CENTER,0.00%
ABUYOG COMMUNITY COLLEGE,13.51%
ACADEMIA DE SAN LORENZO DEMA-ALA,25.00%
ACCESS COMPUTER & TECHNICAL COLLEGE-MANILA,25.00%
ACES POLYTECHNIC COLLEGE - PANABO CITY,50.00%
ACES TAGUM COLLEGE,22.41%
ACI COMPUTER COLLEGE (for. ACTS),0.00%
ACLC COLLEGE OF GENERAL SANTOS CITY,25.00%
"ACLC COLLEGE OF MANDAUE CITY, INC. - MANDAUE CITY",0.00%
ACLC COLLEGE OF MARBEL - KORONADAL CITY,100.00%
ACLC COLLEGE-AMA COMPUTER LEARNING CENTER-BUTUAN CITY,0.00%
ADAMSON UNIVERSITY,48.68%
ADELPHI COLLEGE,12.50%
ADIONG MEMORIAL POLYTECHNIC STATE COLLEGE,2.17%
ADVANCE CENTRAL COLLEGE- SAN JOSE,0.00%
ADVENTIST UNIVERSITY OF THE PHILIPPINES,51.28%
AEMILIANUM INSTITUTE,38.89%
AERONAUTICAL ACADEMY OF THE PHILIPPINES,100.00%
AGO FOUNDATION COLLEGE,20.00%
AGO MEDICAL & EDUCATIONAL CENTER-BICOL CHRISTIAN COLL.OF MED,21.43%
"AGONCILLO COLLEGE, INC",16.67%
AGOO COMPUTER COLLEGE,0.00%
AGRO-INDUSTRIAL FOUNDATION COLLEGES OF THE PHILIPPINES,0.00%
AGUILAR COLLEGE FOUNDATION,0.00%
"AGUSAN BUSINESS & ART FOUNDATION, INC.",0.00%
AGUSAN COLLEGES,28.00%
AGUSAN DEL SUR COLLEGE,16.22%
AGUSAN DEL SUR STATE COLLEGE OF AGRICULTURE & TECHNOLOGY,13.36%
AGUSAN INSTITUTE OF TECHNOLOGY,10.00%
AIE COLLEGE,25.00%
AKLAN CATHOLIC COLLEGE-(FOR AKLAN COLLEGE)-KALIBO,46.91%
AKLAN POLYTECHNIC INSTITUTE,100.00%
AKLAN STATE UNIVERSITY(AKLAN S.C.A.)-BANGA,44.21%
AKLAN STATE UNIVERSITY-IBAJAY,52.33%
AKLAN STATE UNIVERSITY-KALIBO,42.74%
AKLAN STATE UNIVERSITY- MAKATO,28.13%
AKLAN STATE UNIVERSITY- NATIONAL COLLEGE OF FISHERIES,10.00%
AKLAN STATE UNIVERSITY-NEW WASHINGTON,44.26%
ALANGALANG AGRO INDUSTRIAL SCHOOL,0.00%
ALDERSGATE COLLEGE,36.36%
ALEJANDRO COLLEGE,0.00%
ALFELOR SR. MEMORIAL COLLEGE,24.14%
ALITAGTAG COLLEGE,8.33%
ALL NATIONS COLLEGE,11.11%
"ALPHA CENTAURI EDUCATIONAL SYSTEM, INC.-LUCENA CITY",85.71%
ALTAVAS COLLEGE,36.96%
"AMA COMPUTER COLLEGE DASMARINAS, CAVITE, INC.",33.33%
AMA COMPUTER COLLEGE- BACOLOD CITY,0.00%
AMA COMPUTER COLLEGE- BAGUIO CITY,50.00%
AMA COMPUTER COLLEGE- CABANATUAN CITY,100.00%
AMA COMPUTER COLLEGE- CAGAYAN DE ORO,33.33%
AMA COMPUTER COLLEGE- CALAMBA,0.00%
AMA COMPUTER COLLEGE-CEBU CITY,25.00%
AMA COMPUTER COLLEGE- DAGUPAN CITY,33.33%
AMA COMPUTER COLLEGE- DAVAO CITY,28.57%
AMA COMPUTER COLLEGE-EAST RIZAL,0.00%
"AMA COMPUTER COLLEGE- FAIRVIEW, QC INC",100.00%
AMA COMPUTER COLLEGE-GEN SANTOS CAMPUS,25.00%
AMA COMPUTER COLLEGE-ILOILO CITY,0.00%
AMA COMPUTER COLLEGE-LA UNION,0.00%
AMA COMPUTER COLLEGE-LAS PIÑAS,33.33%
AMA COMPUTER COLLEGE- LEGAZPI CAMPUS,25.00%
AMA COMPUTER COLLEGE- LUCENA CITY,0.00%
AMA COMPUTER COLLEGE- MAKATI CITY,0.00%
AMA COMPUTER COLLEGE- MALOLOS,100.00%
AMA COMPUTER COLLEGE-NAGA CITY,0.00%
AMA COMPUTER COLLEGE-PASIG,0.00%
AMA COMPUTER COLLEGE- SANTIAGO CITY,0.00%
"AMA COMPUTER COLLEGE-STA. CRUZ, LAGUNA",0.00%
AMA COMPUTER COLLEGE- TACLOBAN,60.00%
AMA COMPUTER COLLEGE- TARLAC CITY,25.00%
AMA COMPUTER COLLEGE- TUGUEGARAO CITY,0.00%
AMA COMPUTER COLLEGE- ZAMBOANGA CITY,0.00%
AMA COMPUTER LEARNING CENTER-VALENCIA,33.33%
AMA COMPUTER LEARNING COLLEGE-DAET,100.00%
"AMA COMPUTER UNIVERSITY- PROJ. 8, QC",40.00%
AMANDO COPE COLLEGE,62.50%
ANDRES BONIFACIO COLLEGE,17.11%
ANDRES SORIANO COLLEGE,17.65%
ANGELES UNIVERSITY FOUNDATION,74.32%
ANGELICUM COLLEGE,50.00%
ANNUNCIATION COLLEGE,7.69%
