"The performance of schools in the May 2019 Certified Public Accountant Licensure Examination in alphabetical order as per R.A. 8981 otherwise known as PRC Modernization Act of 2000 Section 7(m) ""To monitor the performance of schools in licensure examinations and publish the results thereof in a newspaper of national circulation"" is as follows:
MAY 2019 CERTIFIED PUBLIC ACCOUNTANT LICENSURE EXAMINATION PERFORMANCE OF SCHOOLS IN ALPHABETICAL ORDER",,,,,,,,,,,,,,,,,
SEQ.,SCHOOL,FIRST TIMERS,,,,,REPEATERS,,,,,OVERALL PERFORMANCE,,,,,
NO.,,,,,,,,,,,,,,,,,
,,PASSED,FAILED,COND,TOTAL,% PASSED,PASSE D,FAILED,COND,TOTAL,% PASSED,PASSED,FAILED,COND,TOTAL,% PASSED,
32,ATENEO DE ZAMBOANGA,1,0,0,1,100.00%,5,,,9,,6,3,1,10,60.00%,
,UNIVERSITY,,,,,,,3,1,,55.56%,,,,,,
33,BAGUIO CENTRAL UNIVERSITY,0,1,0,1,0.00%,0,0,0,0,0.00%,0,1,0,1,0.00%,
34,BALIUAG UNIVERSITY (BALIUAG,15,62,3,80,18.75%,3,,,30,10.00%,18,89,3,110,16.36%,
,COLLEGES),,,,,,,27,0,,,,,,,,
35,BALIWAG POLYTECHNIC,0,0,0,0,0.00%,2,,,6,,2,4,0,6,33.33%,
,"COLLEGE-BALIUAG, BULACAN",,,,,,,4,0,,33.33%,,,,,,
36,BATAAN PENINSULA STATE U-,0,1,0,1,0.00%,0,,,0,,0,1,0,1,0.00%,
,DINALUPIHAN-(FOR BATAAN,,,,,,,0,0,,0.00%,,,,,,
,"SC,TC)",,,,,,,,,,,,,,,,
37,BATAAN PENINSULA STATE,0,43,1,44,0.00%,12,,,73,16.44%,12,99,6,117,10.26%,
,UNIVERSITY-BALANGA,,,,,,,56,5,,,,,,,,
38,BATANGAS EASTERN,0,1,0,1,0.00%,0,,,2,0.00%,0,3,0,3,0.00%,
,COLLEGES(FOR BATAGAS,,,,,,,2,0,,,,,,,,
,EASTERN ACA.),,,,,,,,,,,,,,,,
39,BATANGAS STATE UNIVERSITY-,0,0,0,0,0.00%,1,,,6,,1,5,0,6,16.67%,
,ARASOF-NASUGBU,,,,,,,5,0,,16.67%,,,,,,
40,BATANGAS STATE UNIVERSITY-,2,30,0,32,6.25%,7,,,44,,9,64,3,76,11.84%,
,BATANGAS CITY (PBMIT),,,,,,,34,3,,15.91%,,,,,,
41,"BENEDICTO COLLEGE, INC.",0,2,0,2,0.00%,0,0,0,0,0.00%,0,2,0,2,0.00%,
42,BICOL COLLEGE,0,5,0,5,0.00%,0,2,0,2,0.00%,0,7,0,7,0.00%,
43,BICOL UNIVERSITY-DARAGA,0,1,1,2,0.00%,12,5,1,18,66.67%,12,6,2,20,60.00%,
44,BINALBAGAN CATHOLIC COLLEGE,1,10,0,11,9.09%,2,5,0,7,28.57%,3,15,0,18,16.67%,
45,BOHOL INSTITUTE OF,0,3,0,3,0.00%,0,,,1,,0,4,0,4,0.00%,
,TECHNOLOGY-JAGNA,,,,,,,1,0,,0.00%,,,,,,
46,BROKENSHIRE COLLEGE,0,0,0,0,0.00%,0,1,0,1,0.00%,0,1,0,1,0.00%,
47,BROKENSHIRE COLLEGE-,0,1,0,1,0.00%,0,,,6,,0,7,0,7,0.00%,
,"SOCSKSARGEN, INC",,,,,,,6,0,,0.00%,,,,,,
48,BUKIDNON STATE UNIVERSITY-,0,1,0,1,0.00%,1,,,9,,1,9,0,10,10.00%,
,(FOR BUKIDNON STATE COLL)-,,,,,,,8,0,,11.11%,,,,,,
,MAIN,,,,,,,,,,,,,,,,
49,BULACAN STATE UNIVERSITY,0,2,0,2,0.00%,11,,,26,,11,14,3,28,39.29%,
,(for.BCAT)-MALOLOS,,,,,,,12,3,,42.31%,,,,,,
50,CAGAYAN DE ORO COLLEGE,2,0,0,2,100.00%,0,1,0,1,0.00%,2,1,0,3,66.67%,
51,CAGAYAN STATE UNIVERSITY-,0,0,0,0,0.00%,2,,,14,,2,11,1,14,14.29%,
,ANDREWS CAMPUS(TUG),,,,,,,11,1,,14.29%,,,,,,
52,CAGAYAN STATE UNIVERSITY-,0,0,0,0,0.00%,0,,,1,,0,0,1,1,0.00%,
,CARITAN,,,,,,,0,1,,0.00%,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SEQ.,SCHOOL,FIRST TIMERS,,,,,REPEATERS,,,,,OVERALL PERFORMANCE,,,,,
NO.,,,,,,,,,,,,,,,,,
,,PASSED,FAILED,COND,TOTAL,% PASSED,PASSED,FAILED,COND,TOTAL,% PASSED,PASSED,FAILED,COND,TOTAL,% PASSED,
53,CAGAYAN VALLEY COMPUTER &,0,24,0,24,0.00%,0,13,0,13,,0,37,0,37,0.00%,
,INFORMATION TECHNOLOGY,,,,,,,,,,0.00%,,,,,,
,"COLLEGE,INC",,,,,,,,,,,,,,,,
54,CALAMBA DOCTORS',0,3,0,3,0.00%,0,,,3,,0,6,0,6,0.00%,
,COLLEGE(FOR. CDH ALLIED,,,,,,,3,0,,0.00%,,,,,,
,MEDICAL COLLEGES),,,,,,,,,,,,,,,,
55,CALAYAN EDUCATIONAL,0,0,0,0,0.00%,0,,,1,,0,1,0,1,0.00%,
,FOUNDATION INC.(for.,,,,,,,1,0,,0.00%,,,,,,
,MED.CTR.LUCENA),,,,,,,,,,,,,,,,
56,CAMARINES NORTE STATE,0,4,0,4,0.00%,6,,,13,,6,10,1,17,35.29%,
,COLLEGE-DAET,,,,,,,6,1,,46.15%,,,,,,
57,CAPITOL UNIVERSITY,0,1,0,1,0.00%,0,,,2,0.00%,0,3,0,3,0.00%,
,(for.CAGAYAN CAPITOL COLL.),,,,,,,2,0,,,,,,,,
58,CARLOS A. HILADO MEMORIAL,0,3,0,3,0.00%,3,,,28,10.71%,3,28,0,31,9.68%,
,STATE COLLEGE-BACOLOD,,,,,,,25,0,,,,,,,,
59,CATANDUANES STATE,0,1,0,1,0.00%,3,,,14,,3,11,1,15,20.00%,
,UNIVERSITY - VIRAC,,,,,,,10,1,,21.43%,,,,,,
60,CAVITE STATE UNIVERSITY (DON,0,0,0,0,0.00%,6,,,11,,6,4,1,11,54.55%,
,SEVERINO AGR'L. COLL.),,,,,,,4,1,,54.55%,,,,,,
61,CEBU INSTITUTE OF,0,8,0,8,0.00%,2,,,8,25.00%,2,14,0,16,12.50%,
,TECHNOLOGY - UNIVERSITY,,,,,,,6,0,,,,,,,,
62,CEBU ROOSEVELT MEMORIAL,0,0,0,0,0.00%,0,,,5,0.00%,0,4,1,5,0.00%,
,COLLEGES,,,,,,,4,1,,,,,,,,
63,CENTRAL COLLEGES OF THE,0,2,0,2,0.00%,0,,,5,,0,7,0,7,0.00%,
,PHILIPPINES,,,,,,,5,0,,0.00%,,,,,,
64,CENTRAL LUZON STATE,0,2,0,2,0.00%,8,,,23,,8,16,1,25,32.00%,
,UNIVERSITY,,,,,,,14,1,,34.78%,,,,,,
65,CENTRAL MINDANAO UNIVERSITY,2,0,0,2,100.00%,4,6,0,10,40.00%,6,6,0,12,50.00%,
66,CENTRAL PHILIPPINE ADVENTIST,0,4,0,4,0.00%,0,,,2,0.00%,0,6,0,6,0.00%,
,COLLEGE,,,,,,,2,0,,,,,,,,
67,CENTRAL PHILIPPINE UNIVERSITY,0,2,0,2,0.00%,6,25,1,32,18.75%,6,27,1,34,17.65%,
68,CENTRO ESCOLAR UNIVERSITY-,0,8,1,9,0.00%,4,,,24,,4,28,1,33,12.12%,
,MANILA,,,,,,,20,0,,16.67%,,,,,,
69,CHIANG KAI SHEK COLLEGE,2,6,1,9,22.22%,19,27,5,51,37.25%,21,33,6,60,35.00%,
70,CHRIST THE KING COLLEGE-,0,2,0,2,0.00%,1,,,10,,1,11,0,12,8.33%,
,GINGOOG CITY,,,,,,,9,0,,10.00%,,,,,,
71,CHRIST THE KING OF CALBAYOG,0,11,0,11,0.00%,3,23,0,26,11.54%,3,34,0,37,8.11%,
72,CHRISTIAN COLLEGES OF,0,1,0,1,0.00%,1,,,2,,1,2,0,3,33.33%,
,SOUTHEAST ASIA,,,,,,,1,0,,50.00%,,,,,,
73,CITY COLLEGE OF CALAMBA,2,28,0,30,6.67%,1,10,1,12,8.33%,3,38,1,42,7.14%,
74,CITY OF MALABON UNIVERSITY,3,13,0,16,18.75%,1,,,11,,4,23,0,27,14.81%,
,(for.MALABON COM. COLL.),,,,,,,10,0,,9.09%,,,,,,
75,COLEGIO DE DAGUPAN,1,11,0,12,8.33%,1,,,7,,2,17,0,19,10.53%,
,(for.COMPUTRONIX COLL),,,,,,,6,0,,14.29%,,,,,,
76,COLEGIO DE LA PURISIMA,0,5,0,5,0.00%,1,,,10,,1,12,2,15,6.67%,
,CONCEPCION,,,,,,,7,2,,10.00%,,,,,,
77,COLEGIO DE SAN GABRIEL,0,1,0,1,0.00%,0,,,0,,0,1,0,1,0.00%,
,ARCANGEL,,,,,,,0,0,,0.00%,,,,,,
78,COLEGIO DE SAN JUAN DE,0,1,0,1,0.00%,0,,,5,,0,6,0,6,0.00%,
,LETRAN-ABUCAY,,,,,,,5,0,,0.00%,,,,,,
79,COLEGIO DE SAN JUAN DE,0,3,0,3,0.00%,2,,,18,,2,19,0,21,9.52%,
,LETRAN-CALAMBA,,,,,,,16,0,,11.11%,,,,,,
80,COLEGIO DE SAN JUAN DE,0,29,0,29,0.00%,12,,,56,,12,72,1,85,14.12%,
,LETRAN-INTRAMUROS,,,,,,,43,1,,21.43%,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SEQ.,SCHOOL,FIRST TIMERS,,,,,REPEATERS,,,,,OVERALL PERFORMANCE,,,,,
NO.,,,,,,,,,,,,,,,,,
,,PASSED,FAILED,COND,TOTAL,% PASSED,PASSED,FAILED,COND,TOTAL,% PASSED,PASSED,FAILED,COND,TOTAL,% PASSED,
81,COLEGIO DE SAN PASCUAL,0,0,0,0,0.00%,0,1,0,1,,0,1,0,1,0.00%,
,BAYLON,,,,,,,,,,0.00%,,,,,,
82,COLEGIO DE SEBASTIAN-,0,1,0,1,0.00%,5,,,59,,5,55,0,60,8.33%,
,"PAMPANGA, INC - PAMPANGA",,,,,,,54,0,,8.47%,,,,,,
83,COLEGIO DE STA. RITA,0,1,0,1,0.00%,0,0,0,0,0.00%,0,1,0,1,0.00%,
84,COLEGIO SAN AGUSTIN-,0,0,0,0,0.00%,0,,,4,,0,3,1,4,0.00%,
,BACOLOD CITY,,,,,,,3,1,,0.00%,,,,,,
85,COLLEGE OF MAASIN,0,2,0,2,0.00%,0,5,0,5,0.00%,0,7,0,7,0.00%,
86,COLLEGE OF MARY IMMACULATE,1,4,0,5,20.00%,2,6,0,8,25.00%,3,10,0,13,23.08%,
87,COLLEGE OF SAINT LAWRENCE,0,2,0,2,0.00%,0,1,0,1,0.00%,0,3,0,3,0.00%,
88,COLLEGE OF ST. JOHN-ROXAS,1,4,0,5,20.00%,0,0,0,0,0.00%,1,4,0,5,20.00%,
89,COLLEGE OF THE HOLY SPIRIT,0,2,0,2,0.00%,0,,,4,0.00%,0,6,0,6,0.00%,
,OF MANILA,,,,,,,4,0,,,,,,,,
90,COLLEGE OF THE IMMACULATE,0,0,0,0,0.00%,4,,,18,22.22%,4,14,0,18,22.22%,
,CONCEPTION-CABANATUAN,,,,,,,14,0,,,,,,,,
91,COLUMBAN COLLEGE-OLONGAPO,0,10,0,10,0.00%,5,,,36,,5,40,1,46,10.87%,
,CITY,,,,,,,30,1,,13.89%,,,,,,
92,COR JESU COLLEGE (HOLY,1,3,2,6,16.67%,0,,,8,,1,10,3,14,7.14%,
,CROSS OF DIGOS),,,,,,,7,1,,0.00%,,,,,,
93,CORDILLERA CAREER,0,16,0,16,0.00%,2,,,36,5.56%,2,50,0,52,3.85%,
,DEVELOPMENT COLLEGE,,,,,,,34,0,,,,,,,,
94,DALUBHASAAN NG LUNGSOD NG,0,1,0,1,0.00%,0,,,2,0.00%,0,3,0,3,0.00%,
,SAN PABLO,,,,,,,2,0,,,,,,,,
95,DANIEL B. PENA MEMORIAL,0,4,0,4,0.00%,0,,,1,,0,5,0,5,0.00%,
,COLLEGE FOUNDATION,,,,,,,1,0,,0.00%,,,,,,
96,DE LA SALLE UNIVERSITY-,0,0,0,0,0.00%,6,,,6,,6,0,0,6,100.00%,
,DASMARIÑAS,,,,,,,0,0,,100.00%,,,,,,
97,DE LA SALLE UNIVERSITY-LIPA,0,1,0,1,0.00%,8,22,4,34,23.53%,8,23,4,35,22.86%,
98,DE LA SALLE UNIVERSITY-MANILA,59,7,1,67,88.06%,2,3,0,5,40.00%,61,10,1,72,84.72%,
99,DE LA SALLE-ARANETA,1,2,0,3,33.33%,1,,,7,,2,8,0,10,20.00%,
,"UNIVERSITY,INC (GAUF)",,,,,,,6,0,,14.29%,,,,,,
100,DEVELOPMENT FOR ADVANCED,0,1,0,1,0.00%,0,,,0,,0,1,0,1,0.00%,
,TECHNOLOGY ACHIEVEMENT,,,,,,,0,0,,0.00%,,,,,,
,(DATA) COLL.,,,,,,,,,,,,,,,,
101,DIPOLOG MEDICAL CENTER,0,4,0,4,0.00%,0,,,7,,0,11,0,11,0.00%,
,"COLLEGE FOUNDATION, INC",,,,,,,7,0,,0.00%,,,,,,
102,DIVINE MERCY COLLEGE,0,0,0,0,0.00%,0,,,1,,0,1,0,1,0.00%,
,"FOUNDATION, INC",,,,,,,1,0,,0.00%,,,,,,
103,DIVINE WORD COLLEGE OF,0,1,0,1,0.00%,0,,,5,,0,6,0,6,0.00%,
,BANGUED,,,,,,,5,0,,0.00%,,,,,,
104,DIVINE WORD COLLEGE OF,9,6,2,17,52.94%,1,,,4,,10,9,2,21,47.62%,
,CALAPAN,,,,,,,3,0,,25.00%,,,,,,
105,DIVINE WORD COLLEGE OF,0,0,0,0,0.00%,4,,,23,,4,19,0,23,17.39%,
,LAOAG,,,,,,,19,0,,17.39%,,,,,,
106,DIVINE WORD COLLEGE OF,0,12,0,12,0.00%,13,,,65,,13,63,1,77,16.88%,
,LEGAZPI,,,,,,,51,1,,20.00%,,,,,,
107,DIVINE WORD COLLEGE OF SAN,0,5,0,5,0.00%,2,,,22,,2,25,0,27,7.41%,
