School,Location,City,TRange,Tuition Fee,Course
UNIVERSITY OF PERPETUAL HELP RIZAL CALAMBA CAMPUS,Laguna,"Calamba City, Laguna",41000 - 60000,"50,000 to 60,000",Bachelor of Science in Electronics Engineering
UNIVERSITY OF PERPETUAL HELP RIZALCALAMBA CAMPUS,Laguna,"Calamba City, Laguna",41000 - 60000,"50,000 to 60,000",Bachelor of Science in Electrical Engineering
UNIVERSITY OF PERPETUAL HELP RIZALCALAMBA CAMPUS,Laguna,"Calamba City, Laguna",41000 - 60000,"50,000 to 60,000",Bachelor of Science in Nursing
UNIVERSITY OF PERPETUAL HELP RIZALCALAMBA CAMPUS,Laguna,"Calamba City, Laguna",41000 - 60000,"50,000 to 60,000",Bachelor of Science in Mechanical Engineering
UNIVERSITY OF PERPETUAL HELP RIZALCALAMBA CAMPUS,Laguna,"Calamba City, Laguna",41000 - 60000,"45,000 to 65,000",Bachelor of Science in Architecture
UNIVERSITY OF PERPETUAL HELP RIZAL-CALAMBA CAMPUS,Laguna,"Calamba City, Laguna",41000 - 60000,"40,000 to 50,000",Bachelor of Science in Criminology
MARCELINO FULE MEMORIAL ACADEMY,Laguna,"Alaminos, Laguna",0 - 20000,"16,000-20,000",Bachelor of Science in Elementary Education
MARCELINO FULE MEMORIAL ACADEMY,Laguna,"Alaminos, Laguna",0 - 20000,"16,000-20,000",Bachelor of Science in Secondary Education
SAINT MICHAEL'S COLLEGE OF LAGUNA,Laguna,"Binan City, Laguna",41000 - 60000,"46,000-50,000",Bachelor of Science in Elementary Education
SAINT MICHAEL'S COLLEGE OF LAGUNA,Laguna,"Binan City, Laguna",41000 - 60000,"46,000-50,000",Bachelor of Science in Secondary Education
SAINT MICHAEL'S COLLEGE OF LAGUNA,Laguna,"Binan City, Laguna",41000 - 60000,"46,000-50,000",Bachelor of Science in Nursing
POLYTECHNIC UNIVERSITY OF THE PHILIPPINES  BIÑAN,Laguna,"Binan City, Laguna",Free Tuition,Free Tuition,Bachelor of Science in Accountancy
UNIVERSITY OF PERPETUAL HELP SYSTEMLAGUNA,Laguna,"Binan City, Laguna",41000 - 60000,"48,000-50,000",Bachelor of Science in Elementary Education
UNIVERSITY OF PERPETUAL HELP SYSTEMLAGUNA,Laguna,"Binan City, Laguna",41000 - 60000,"48,000-50,000",Bachelor of Science in Secondary Education
UNIVERSITY OF PERPETUAL HELP SYSTEMLAGUNA,Laguna,"Binan City, Laguna",41000 - 60000,"48,000-50,000",Bachelor of Science in Criminology
UNIVERSITY OF PERPETUAL HELP SYSTEMLAGUNA,Laguna,"Binan City, Laguna",41000 - 60000,"48,000-50,000",Bachelor of Science in Accountancy
PAMANTASAN NG CABUYAO,Laguna,"Cabuyao, Laguna",Free Tuition,Free Tuition,Bachelor of Science in Elementary Education
PAMANTASAN NG CABUYAO,Laguna,"Cabuyao, Laguna",Free Tuition,Free Tuition,Bachelor of Science in Secondary Education
PAMANTASAN NG CABUYAO,Laguna,"Cabuyao, Laguna",Free Tuition,Free Tuition,Bachelor of Science in Accountancy
PAMANTASAN NG CABUYAO,Laguna,"Cabuyao, Laguna",Free Tuition,Free Tuition,Bachelor of Science in Nursing
PAMANTASAN NG CABUYAO,Laguna,"Cabuyao, Laguna",Free Tuition,Free Tuition,Bachelor of Science in Psychology
MALAYAN COLLEGES LAGUNA,Laguna,"Cabuyao, Laguna",81000 - 100000,"90,000-105,000",Bachelor of Science in Accountancy
MALAYAN COLLEGES LAGUNA,Laguna,"Cabuyao, Laguna",81000 - 100000,"90,000-105,000",Bachelor of Science in Electronics Engineering
UNIVERSITY OF THE PHILIPPINES LOS BAÑOS,Laguna,"Los Banos, Laguna",41000 - 60000,"40,000-50,000",Bachelor of Science in Civil Engineering
UNIVERSITY OF THE PHILIPPINESLOS BANOS,Laguna,"Los Banos, Laguna",41000 - 60000,"40,000-50,000",Bachelor of Science in Electrical Engineering
UNIVERSITY OF THE PHILIPPINES LOS BAÑOS,Laguna,"Los Banos, Laguna",41000 - 60000,"40,000-50,000",Bachelor of Science in Mechanical Engineering
TRACE COLLEGELOS BAÑOS,Laguna,"Los Banos, Laguna",61000 - 80000,"60,000-64,000",Bachelor of Science in Secondary Education
