School,Location,City,TRange,Tuition Fee,Course
University of Batangas,Batangas,"Batangas City, Batangas",41000 - 60000,"44,000-50,000",Bachelor of Science in Electrical Engineering
University of Batangas,Batangas,"Batangas City, Batangas",41000 - 60000,"44,000-50,000",Bachelor of Science in Elementary Education
University of Batangas,Batangas,"Batangas City, Batangas",41000 - 60000,"44,000-50,000",Bachelor of Science in Secondary Education
University of Batangas,Batangas,"Batangas City, Batangas",41000 - 60000,"44,000-50,000",Bachelor of Science in Accountancy
University of Batangas,Batangas,"Batangas City, Batangas",41000 - 60000,"44,000-50,000",Bachelor of Science in Nursing
Batangas State University - Alangilan Campus,Batangas,"Batangas City, Batangas",Free Tuition,Free Tuition,Bachelor of Science in Chemical Engineering
Batangas State University - Alangilan Campus,Batangas,"Batangas City, Batangas",Free Tuition,Free Tuition,Bachelor of Science in Civil Engineering
Batangas State University - Alangilan Campus,Batangas,"Batangas City, Batangas",Free Tuition,Free Tuition,Bachelor of Science in Electrical Engineering
Batangas State University - Alangilan Campus,Batangas,"Batangas City, Batangas",Free Tuition,Free Tuition,Bachelor of Science in Electronics Engineering
Batangas State University - Alangilan Campus,Batangas,"Batangas City, Batangas",Free Tuition,Free Tuition,Bachelor of Science in Mechanical Engineering
Batangas State University,Batangas,"Batangas City, Batangas",Free Tuition,Free Tuition,Bachelor of Science in Elementary Education
Batangas State University,Batangas,"Batangas City, Batangas",Free Tuition,Free Tuition,Bachelor of Science in Secondary Education
Batangas State University,Batangas,"Batangas City, Batangas",Free Tuition,Free Tuition,Bachelor of Science in Accountancy
Batangas State University,Batangas,"Batangas City, Batangas",Free Tuition,Free Tuition,Bachelor of Science in Nursing
Batangas State University,Batangas,"Batangas City, Batangas",Free Tuition,Free Tuition,Bachelor of Science in Criminology
La Consolacion College - Tanauan,Batangas,"Tanauan City, Batangas",41000 - 60000,"48,000-52,000",Bachelor of Science in Elementary Education
La Consolacion College - Tanauan,Batangas,"Tanauan City, Batangas",41000 - 60000,"48,000-52,000",Bachelor of Science in Secondary Education
La Consolacion College - Tanauan,Batangas,"Tanauan City, Batangas",41000 - 60000,"48,000-52,000",Bachelor of Science in Accountancy
La Consolacion College - Tanauan,Batangas,"Tanauan City, Batangas",41000 - 60000,"48,000-52,000",Bachelor of Science in Psychology
First Asia Institute of Technology and Humanities,Batangas,"Tanauan City, Batangas",81000 - 100000,"80,000-100,000",Bachelor of Science in Nursing
First Asia Institute of Technology and Humanities,Batangas,"Tanauan City, Batangas",81000 - 100000,"80,000-100,000",Bachelor of Science in Criminology
First Asia Institute of Technology and Humanities,Batangas,"Tanauan City, Batangas",81000 - 100000,"80,000-100,000",Bachelor of Science in Psychology
First Asia Institute of Technology and Humanities,Batangas,"Tanauan City, Batangas",81000 - 100000,"80,000-100,000",Bachelor of Science in Accountancy
First Asia Institute of Technology and Humanities,Batangas,"Tanauan City, Batangas",81000 - 100000,"80,000-100,000",Bachelor of Science in Elementary Education
First Asia Institute of Technology and Humanities,Batangas,"Tanauan City, Batangas",81000 - 100000,"80,000-100,000",Bachelor of Science in Secondary Education
First Asia Institute of Technology and Humanities,Batangas,"Tanauan City, Batangas",81000 - 100000,"80,000-100,000",Bachelor of Science in Electronics Engineering
Christian College of Tanauan,Batangas,"Tanauan City, Batangas",150000 above,"30,000-330,000",Bachelor of Science in Elementary Education
Christian College of Tanauan,Batangas,"Tanauan City, Batangas",150000 above,"30,000-330,000",Bachelor of Science in Secondary Education
Christian College of Tanauan,Batangas,"Tanauan City, Batangas",150000 above,"30,000-330,000",Bachelor of Science in Accountancy
Christian College of Tanauan,Batangas,"Tanauan City, Batangas",150000 above,"30,000-330,000",Bachelor of Science in Criminology
De La Salle Lipa,Batangas,"Lipa City, Batangas",101000 - 120000,"90,000-120,000",Bachelor of Science in Accountancy
De La Salle Lipa,Batangas,"Lipa City, Batangas",101000 - 120000,"90,000-120,000",Bachelor of Science in Elementary Education
De La Salle Lipa,Batangas,"Lipa City, Batangas",101000 - 120000,"90,000-120,000",Bachelor of Science in Secondary Education
De La Salle Lipa,Batangas,"Lipa City, Batangas",101000 - 120000,"90,000-120,000",Bachelor of Science in Electrical Engineering
De La Salle Lipa,Batangas,"Lipa City, Batangas",101000 - 120000,"90,000-120,000",Bachelor of Science in Nursing
De La Salle Lipa,Batangas,"Lipa City, Batangas",101000 - 120000,"90,000-120,000",Bachelor of Science in Psychology
Kolehiyo ng Lungsod ng Lipa,Batangas,"Lipa City, Batangas",Free Tuition,Free Tuition,Bachelor of Science in Elementary Education
Kolehiyo ng Lungsod ng Lipa,Batangas,"Lipa City, Batangas",Free Tuition,Free Tuition,Bachelor of Science in Secondary Education
Kolehiyo ng Lungsod ng Lipa,Batangas,"Lipa City, Batangas",Free Tuition,Free Tuition,Bachelor of Science in Criminology
University of Batangas - Lipa City,Batangas,"Lipa City, Batangas",41000 - 60000,"44,000-50,000",Bachelor of Science in Criminology
University of Batangas - Lipa City,Batangas,"Lipa City, Batangas",41000 - 60000,"44,000-50,000",Bachelor of Science in Elementary Education
University of Batangas - Lipa City,Batangas,"Lipa City, Batangas",41000 - 60000,"44,000-50,000",Bachelor of Science in Secondary Education
University of Batangas - Lipa City,Batangas,"Lipa City, Batangas",41000 - 60000,"44,000-50,000",Bachelor of Science in Accountancy
Batangas State University - Malvar Campus,Batangas,"Malvar, Batangas",Free Tuition,Free Tuition,Bachelor of Science in Elementary Education
Batangas State University - Malvar Campus,Batangas,"Malvar, Batangas",Free Tuition,Free Tuition,Bachelor of Science in Secondary Education
Batangas State University - Malvar Campus,Batangas,"Malvar, Batangas",Free Tuition,Free Tuition,Bachelor of Science in Criminology
Batangas State University - Malvar Campus,Batangas,"Malvar, Batangas",Free Tuition,Free Tuition,Bachelor of Science in Psychology
Polytechnic University of the Philippines - Sto. Tomas,Batangas,"Sto. Tomas, Batangas",Free Tuition,Free Tuition,Bachelor of Science in Accountancy
Polytechnic University of the Philippines - Sto. Tomas,Batangas,"Sto. Tomas, Batangas",Free Tuition,Free Tuition,Bachelor of Science in Electrical Engineering
Polytechnic University of the Philippines - Sto. Tomas,Batangas,"Sto. Tomas, Batangas",Free Tuition,Free Tuition,Bachelor of Science in Electronics Engineering
Polytechnic University of the Philippines - Sto. Tomas,Batangas,"Sto. Tomas, Batangas",Free Tuition,Free Tuition,Bachelor of Science in Psychology
Batangas State University - Nasugbu Campus,Batangas,"Nasugbu, Batangas",Free Tuition,Free Tuition,Bachelor of Science in Elementary Education
Batangas State University - Nasugbu Campus,Batangas,"Nasugbu, Batangas",Free Tuition,Free Tuition,Bachelor of Science in Secondary Education
