SCHOOL,PASSED,FAILED,TOTAL,% PASSED,PASSED,FAILED,TOTAL,% PASSED,PASSED,FAILED,TOTAL,% PASSED
"FATIMA MEDICAL SCIENCE FOUNDATION, INC.-VALENZUELA",1,0,1,100.00%,0,0,0,0.00%,1,0,1,100.00%
FERNANDEZ COLLEGE OF ARTS & TECHNOLOGY,4,7,11,36.36%,4,7,11,36.36%,8,14,22,36.36%
FLORENCIO L. VARGAS COLLEGE- TUGUEGARAO,30,63,93,32.26%,13,62,75,17.33%,43,125,168,25.60%
FULLBRIGHT COLLEGE,54,17,71,76.06%,3,4,7,42.86%,57,21,78,73.08%
GOLDEN WEST COLLEGES,14,13,27,51.85%,2,5,7,28.57%,16,18,34,47.06%
GOV. ALFONSO D. TAN MEMORIAL COLLEGE,15,5,20,75.00%,0,0,0,0.00%,15,5,20,75.00%
GUIMARAS STATE COLLEGE (GUIMARAS POLY. COLL.),17,13,30,56.67%,0,0,0,0.00%,17,13,30,56.67%
H. G. BAQUIRAN COLLEGE,0,0,0,0.00%,0,2,2,0.00%,0,2,2,0.00%
HEADSTART COLLEGE OF COTABATO,15,50,65,23.08%,5,20,25,20.00%,20,70,90,22.22%
HERCOR COLLEGE,12,33,45,26.67%,4,8,12,33.33%,16,41,57,28.07%
HMIJ-FOUNDATION PHILIPPINE ISLAMIC COLLEGE,2,2,4,50.00%,0,2,2,0.00%,2,4,6,33.33%
HOLY CHILD COLLEGE OF BUTUAN,2,1,3,66.67%,1,0,1,100.00%,3,1,4,75.00%
HOLY CROSS OF DAVAO COLLEGE,24,13,37,64.86%,4,7,11,36.36%,28,20,48,58.33%
HOLY INFANT JESUS COLLEGE,0,1,1,0.00%,0,1,1,0.00%,0,2,2,0.00%
HOLY NAME COLLEGE,0,1,1,0.00%,0,0,0,0.00%,0,1,1,0.00%
HOLY NAME UNIVERSITY (for.DIVINE WORD-TAGBILARAN),18,6,24,75.00%,3,4,7,42.86%,21,10,31,67.74%
HOLY SPIRIT FOUNDATION OF LEYTE,5,0,5,100.00%,1,1,2,50.00%,6,1,7,85.71%
HOLY TRINITY COLLEGE OF GENERAL SANTOS CITY,25,24,49,51.02%,7,13,20,35.00%,32,37,69,46.38%
HOLY TRINITY COLLEGE OF PUERTO PRINCESA,32,15,47,68.09%,6,16,22,27.27%,38,31,69,55.07%
"ICCT COLLEGES FOUNDATION,INC(INST.OF CREATIVE COMP TECH INC)",52,38,90,57.78%,3,6,9,33.33%,55,44,99,55.56%
IFUGAO STATE COLLEGE OF AGRICULTURE & FORESTRY- LAMUT,86,8,94,91.49%,4,2,6,66.67%,90,10,100,90.00%
ILIGAN CAPITOL COLLEGE,15,11,26,57.69%,7,12,19,36.84%,22,23,45,48.89%
"ILIGAN MEDICAL CENTER COLLEGE, INC.",17,3,20,85.00%,3,11,14,21.43%,20,14,34,58.82%
ILOILO DOCTORS' COLLEGE,10,10,20,50.00%,5,6,11,45.45%,15,16,31,48.39%
INNOVATIVE COLLEGE OF SCIENCE & TECHNOLOGY,5,9,14,35.71%,1,15,16,6.25%,6,24,30,20.00%
INTERNATIONAL HARVARDIAN UNIVERSITY,0,1,1,0.00%,0,0,0,0.00%,0,1,1,0.00%
INTERNATIONAL SCHOOL OF ASIA & THE PACIFIC,16,16,32,50.00%,2,6,8,25.00%,18,22,40,45.00%
INTERWORLD COLLEGE OF SCIENCE & TECHNOLOGY,6,9,15,40.00%,2,8,10,20.00%,8,17,25,32.00%
INTERWORLD COLLEGES FOUNDATION-TARLAC CITY (ICT),0,8,8,0.00%,0,0,0,0.00%,0,8,8,0.00%
IRENE B. ANTONIO TECHNOLOGICAL COLLEGE,2,0,2,100.00%,0,0,0,0.00%,2,0,2,100.00%
ISABELA COLLEGE OF ARTS & TECHNOLOGY,5,7,12,41.67%,2,9,11,18.18%,7,16,23,30.43%
ISABELA COLLEGES (for.ISABELA C.F),2,16,18,11.11%,3,11,14,21.43%,5,27,32,15.63%
ISABELA STATE UNIVERSITY- ANGADANAN (for.A AGRO-IND COL.),1,3,4,25.00%,4,7,11,36.36%,5,10,15,33.33%
ISABELA STATE UNIVERSITY- CABAGAN,53,20,73,72.60%,0,1,1,0.00%,53,21,74,71.62%
ISABELA STATE UNIVERSITY- CAUAYAN (for.C.POLY.COLL.),51,40,91,56.04%,7,9,16,43.75%,58,49,107,54.21%
ISABELA STATE UNIVERSITY- ECHAGUE,27,1,28,96.43%,0,1,1,0.00%,27,2,29,93.10%
ISABELA STATE UNIVERSITY- JONES CAMPUS,14,1,15,93.33%,0,1,1,0.00%,14,2,16,87.50%
JAMIATU MARAWI AL-ISLAMIA FOUNDATION,0,1,1,0.00%,0,0,0,0.00%,0,1,1,0.00%
JAMIATUL PHILIPPINE AL-ISLAMIC,5,5,10,50.00%,0,0,0,0.00%,5,5,10,50.00%
JOHN PAUL COLLEGE,5,6,11,45.45%,1,1,2,50.00%,6,7,13,46.15%
JOSE P. LAUREL POLYTECHNIC COLLEGE,9,6,15,60.00%,0,1,1,0.00%,9,7,16,56.25%
JOSE RIZAL MEMORIAL STATE COLLEGE-DIPOLOG,33,26,59,55.93%,8,44,52,15.38%,41,70,111,36.94%
JOSE RIZAL MEMORIAL STATE COLLEGE-SIOCON,1,3,4,25.00%,0,4,4,0.00%,1,7,8,12.50%
JOSE RIZAL MEMORIAL STATE COLLEGE-TAMPILISAN,1,0,1,100.00%,0,0,0,0.00%,1,0,1,100.00%
JOSE RIZAL MEMORIAL STATE UNIVERSITY-DAPITAN,17,20,37,45.95%,6,26,32,18.75%,23,46,69,33.33%
JOSEFINA H. CERILLES STATE COLLEGE-MAIN-MATI(JHCPC),0,1,1,0.00%,0,0,0,0.00%,0,1,1,0.00%
KALINGA COLLEGES OF SCIENCE AND TECHNOLOGY,6,3,9,66.67%,4,2,6,66.67%,10,5,15,66.67%
LA CARLOTA CITY COMMUNITY COLLEGE,60,72,132,45.45%,15,53,68,22.06%,75,125,200,37.50%
LA CONCEPCION COLLEGE- BULACAN,5,1,6,83.33%,0,0,0,0.00%,5,1,6,83.33%
LA SALETTE COLLEGES FOUNDATION,1,0,1,100.00%,0,0,0,0.00%,1,0,1,100.00%
LA SALLE UNIVERSITY (for.IMMA.CONCEPCION-LA SALLE),7,1,8,87.50%,1,1,2,50.00%,8,2,10,80.00%
LACSON COLLEGE,6,7,13,46.15%,1,9,10,10.00%,7,16,23,30.43%
LARENA NATIONAL VOCATIONAL COLLEGE,0,1,1,0.00%,0,0,0,0.00%,0,1,1,0.00%
LEYTE COLLEGES,74,153,227,32.60%,65,271,336,19.35%,139,424,563,24.69%
LEYTE STATE COLLEGE,0,1,1,0.00%,0,1,1,0.00%,0,2,2,0.00%
LICEO DE CAGAYAN UNIVERSITY,11,4,15,73.33%,2,0,2,100.00%,13,4,17,76.47%
LIPA CITY COLLEGES,22,31,53,41.51%,6,8,14,42.86%,28,39,67,41.79%
"LUNA GOCO COLLEGES, INC (for.LUNA GOCO MCCI)",3,9,12,25.00%,1,2,3,33.33%,4,11,15,26.67%
LUZONIAN UNIVERSITY FOUNDATION-LUCENA CITY,0,0,0,0.00%,0,1,1,0.00%,0,1,1,0.00%
LYCEUM NORTHWESTERN- DAGUPAN CITY,11,7,18,61.11%,1,10,11,9.09%,12,17,29,41.38%
LYCEUM NORTHWESTERN-F.T. DUQUE COLLEGE-URDANETA,0,3,3,0.00%,0,0,0,0.00%,0,3,3,0.00%
LYCEUM OF APARRI,27,5,32,84.38%,2,18,20,10.00%,29,23,52,55.77%
LYCEUM OF NORTHERN LUZON,0,2,2,0.00%,1,3,4,25.00%,1,5,6,16.67%
"LYCEUM OF THE PHILIPPINES UNIVERSITY-BATANGAS,INC",28,29,57,49.12%,2,15,17,11.76%,30,44,74,40.54%
LYCEUM OF TUAO,5,13,18,27.78%,4,12,16,25.00%,9,25,34,26.47%
M. V. GALLEGO FOUNDATION COLLEGES,12,20,32,37.50%,4,8,12,33.33%,16,28,44,36.36%
MAHARDIKA INSTITUTE OF TECHNOLOGY,6,5,11,54.55%,1,1,2,50.00%,7,6,13,53.85%
MALLIG PLAINS COLLEGES(for.W.ISABELA PC),3,12,15,20.00%,2,5,7,28.57%,5,17,22,22.73%
MANUEL L. QUEZON UNIVERSITY,20,20,40,50.00%,9,42,51,17.65%,29,62,91,31.87%
MANUEL S. ENVERGA UNIV. FOUNDATION-LUCENA CITY,35,25,60,58.33%,11,26,37,29.73%,46,51,97,47.42%
MARBEL SCHOOL OF FISHERIES & TECHNOLOGY,5,15,20,25.00%,2,8,10,20.00%,7,23,30,23.33%
MASBATE COLLEGES,3,6,9,33.33%,0,12,12,0.00%,3,18,21,14.29%
MATER DEI COLLEGE-BOHOL,9,2,11,81.82%,4,1,5,80.00%,13,3,16,81.25%
MATI POLYTECHNIC INSTITUTE,9,7,16,56.25%,2,7,9,22.22%,11,14,25,44.00%
MATS COLLEGE OF TECHNOLOGY,6,10,16,37.50%,0,1,1,0.00%,6,11,17,35.29%
MEDINA COLLEGE-IPIL,1,1,2,50.00%,0,2,2,0.00%,1,3,4,25.00%
METRO DAGUPAN COLLEGES,2,3,5,40.00%,0,2,2,0.00%,2,5,7,28.57%
METRO MANILA COLLEGE,41,25,66,62.12%,19,45,64,29.69%,60,70,130,46.15%
METROPOLITAN COLLEGE OF SCIENCE & TECHONOLOGY,7,1,8,87.50%,0,2,2,0.00%,7,3,10,70.00%
MINDANAO ARTS & TECHNOLOGICAL INSTITUTE,5,8,13,38.46%,0,5,5,0.00%,5,13,18,27.78%
"MINDANAO AUTONOMOUS COLLEGE, FOUNDATION INC.",3,11,14,21.43%,0,7,7,0.00%,3,18,21,14.29%
MINDANAO STATE UNIVERSITY- MAGUINDANAO,0,1,1,0.00%,0,0,0,0.00%,0,1,1,0.00%
MINDORO STATE COLLEGE OF AGRICULTURE & TECHNOLOGY- BONGABONG,4,20,24,16.67%,0,1,1,0.00%,4,21,25,16.00%
MINDORO STATE COLLEGE OF AGRICULTURE & TECHNOLOGY- CALAPAN,31,23,54,57.41%,0,2,2,0.00%,31,25,56,55.36%
MISAMIS ORIENTAL INSTITUTE OF SCIENCE & TECHNOLOGY,10,1,11,90.91%,0,0,0,0.00%,10,1,11,90.91%
MISAMIS UNIVERSITY- OROQUIETA UNIT,13,8,21,61.90%,0,0,0,0.00%,13,8,21,61.90%
MISAMIS UNIVERSITY-OZAMIS CITY,33,12,45,73.33%,5,32,37,13.51%,38,44,82,46.34%
MOUNT CARMEL COLLEGE-BALER,16,11,27,59.26%,5,4,9,55.56%,21,15,36,58.33%
MOUNT MORIAH COLLEGE- CAMOTES,2,3,5,40.00%,2,5,7,28.57%,4,8,12,33.33%
MOUNTAIN PROV. STATE POLYTECHNIC COLLEGE-BAUKO,1,2,3,33.33%,0,0,0,0.00%,1,2,3,33.33%
MOUNTAIN PROV. STATE POLYTECHNIC COLLEGE-BONTOC,122,26,148,82.43%,16,26,42,38.10%,138,52,190,72.63%
MOUNTAIN PROV. STATE POLYTECHNIC COLLEGE-TADIAN,0,1,1,0.00%,0,0,0,0.00%,0,1,1,0.00%
NAGA COLLEGE FOUNDATION,42,27,69,60.87%,8,37,45,17.78%,50,64,114,43.86%
NATIONAL COLLEGE OF SCIENCE & TECHNOLOGY-DASMARINAS,22,34,56,39.29%,4,13,17,23.53%,26,47,73,35.62%
NATIONAL COLLEGE OF SCIENCE & TECHNOLOGY-SAN FERNANDO,1,0,1,100.00%,0,0,0,0.00%,1,0,1,100.00%
NAVAL STATE UNIVERSITY (for.NAVAL INST) BILIRAN,0,6,6,0.00%,0,2,2,0.00%,0,8,8,0.00%
NAVAL STATE UNIVERSITY (for.NAVAL INST)-NAVAL,26,60,86,30.23%,6,25,31,19.35%,32,85,117,27.35%
NEGROS ORIENTAL STATE UNIVERSITY (CVPC)-BAIS CAMPUS,17,4,21,80.95%,4,12,16,25.00%,21,16,37,56.76%
NEGROS ORIENTAL STATE UNIVERSITY (CVPC)-BAYAWAN,15,10,25,60.00%,4,3,7,57.14%,19,13,32,59.38%
NEGROS ORIENTAL STATE UNIVERSITY (CVPC)-DUMAGUETE,39,21,60,65.00%,14,28,42,33.33%,53,49,102,51.96%
NEGROS ORIENTAL STATE UNIVERSITY (CVPC)-GUIHULNGAN,12,13,25,48.00%,1,1,2,50.00%,13,14,27,48.15%
NEGROS ORIENTAL STATE UNIVERSITY-MABINAY,0,0,0,0.00%,0,1,1,0.00%,0,1,1,0.00%
NEGROS ORIENTAL STATE UNIVERSITY-SIATON,5,3,8,62.50%,0,2,2,0.00%,5,5,10,50.00%
NEW ERA UNIVERSITY,0,0,0,0.00%,1,0,1,100.00%,1,0,1,100.00%
NORTH CENTRAL MINDANAO COLLEGES (CMTI),8,5,13,61.54%,0,4,4,0.00%,8,9,17,47.06%
NORTH COTABATO COLLEGE OF ARTS & TRADE-KIDAPAWAN,0,0,0,0.00%,0,1,1,0.00%,0,1,1,0.00%
NORTHEASTERN COLLEGE,31,17,48,64.58%,10,19,29,34.48%,41,36,77,53.25%
NORTHEASTERN MINDANAO COLL.,12,17,29,41.38%,1,3,4,25.00%,13,20,33,39.39%
NORTHERN COTABATO COLLEGES FOUNDATION INC.,1,0,1,100.00%,1,1,2,50.00%,2,1,3,66.67%
NORTHERN ILOCANDIA COLLEGE OF SCIENCE & TECHNOLOGY(NICOSAT),10,10,20,50.00%,0,2,2,0.00%,10,12,22,45.45%
NORTHERN ILOILO POLYTECHNIC COLLEGE-SARA,21,24,45,46.67%,1,1,2,50.00%,22,25,47,46.81%
NORTHERN ILOILO POLYTECHNIC STATE COLLEGE-AJUY,2,3,5,40.00%,1,1,2,50.00%,3,4,7,42.86%
NORTHERN NEGROS STATE COLLEGE OF SCIENCE & TECHNOLOGY,30,20,50,60.00%,0,1,1,0.00%,30,21,51,58.82%
NORTHERN PHILS. COLL. FOR MARITIME & TECHNOLOGICAL STUDIES,15,9,24,62.50%,3,4,7,42.86%,18,13,31,58.06%
"NORTHERN PHILS. COLL. FOR MARITIME, SCIENCE & TECH (NPMTI)",6,3,9,66.67%,0,0,0,0.00%,6,3,9,66.67%
NORTHERN SAMAR ACADEMY,1,0,1,100.00%,0,0,0,0.00%,1,0,1,100.00%
NORTHERN ZAMBALES COLLEGE (for.VDRC)-MASINLOC,6,6,12,50.00%,4,2,6,66.67%,10,8,18,55.56%
NORTHWEST SAMAR STATE UNIVERSITY (FOR.TIBURCIO TANCINCO),31,44,75,41.33%,3,6,9,33.33%,34,50,84,40.48%
NORTHWESTERN UNIVERSITY,45,44,89,50.56%,11,38,49,22.45%,56,82,138,40.58%
NORTHWESTERN VISAYAN COLLEGES,39,27,66,59.09%,8,32,40,20.00%,47,59,106,44.34%
NOTRE DAME OF DADIANGAS COLLEGE,1,0,1,100.00%,0,0,0,0.00%,1,0,1,100.00%
NOTRE DAME OF JOLO COLLEGE,4,0,4,100.00%,3,2,5,60.00%,7,2,9,77.78%
NOTRE DAME OF SALAMAN COLLEGE,0,5,5,0.00%,0,1,1,0.00%,0,6,6,0.00%
NOTRE DAME OF TACURONG COLLEGE,13,14,27,48.15%,3,7,10,30.00%,16,21,37,43.24%
OCCIDENTAL MINDORO STATE COLLEGE,14,23,37,37.84%,8,31,39,20.51%,22,54,76,28.95%
OSMENA COLLEGE-MASBATE,10,24,34,29.41%,3,21,24,12.50%,13,45,58,22.41%
OUR LADY OF FATIMA UNIVERSITY-QC,0,0,0,0.00%,0,1,1,0.00%,0,1,1,0.00%
OUR LADY OF FATIMA UNIVERSITY-VALENZUELA,17,11,28,60.71%,4,13,17,23.53%,21,24,45,46.67%
OUR LADY OF LOURDES COLLEGE,6,11,17,35.29%,1,4,5,20.00%,7,15,22,31.82%
OUR LADY OF LOURDES COLLEGE FOUNDATION,14,20,34,41.18%,5,12,17,29.41%,19,32,51,37.25%
OUR LADY OF LOURDES TECHNOLOGICAL COLLEGE,0,3,3,0.00%,0,2,2,0.00%,0,5,5,0.00%
OUR LADY OF MERCY COLLEGE- BORONGAN,10,14,24,41.67%,1,15,16,6.25%,11,29,40,27.50%
OUR LADY OF THE PILLAR'S COLLEGE,15,7,22,68.18%,0,4,4,0.00%,15,11,26,57.69%
PAGADIAN COLLEGE OF CRIMINOLOGY & SCIENCES,30,40,70,42.86%,19,86,105,18.10%,49,126,175,28.00%
PAMANTASAN NG LUNGSOD NG MARIKINA,13,5,18,72.22%,3,3,6,50.00%,16,8,24,66.67%
PAMANTASAN NG LUNGSOD NG MUNTINLUPA (MPC),67,89,156,42.95%,10,59,69,14.49%,77,148,225,34.22%
PANGASINAN MERCHANT MARINE ACADEMY,3,2,5,60.00%,1,1,2,50.00%,4,3,7,57.14%
PANGASINAN STATE UNIVERSITY- URDANETA,0,1,1,0.00%,0,0,0,0.00%,0,1,1,0.00%
PANPACIFIC UNIVERSITY NORTH PHILIPPINES (PANG.CST),44,13,57,77.19%,2,13,15,13.33%,46,26,72,63.89%
PARANG FOUNDATION COLLEGE,1,3,4,25.00%,1,4,5,20.00%,2,7,9,22.22%
PARTIDO COLLEGE,13,23,36,36.11%,4,21,25,16.00%,17,44,61,27.87%
PASSI CITY COLLEGE,7,10,17,41.18%,1,1,2,50.00%,8,11,19,42.11%
PATRIA SABLE CORPUS COLLEGE,10,4,14,71.43%,2,3,5,40.00%,12,7,19,63.16%
