SCHOOL,% PASSED
ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)-BANGUED,10.00%
ADAMSON UNIVERSITY,66.67%
AKLAN POLYTECHNIC INSTITUTE,0.00%
ALDERSGATE COLLEGE,0.00%
AMA COMPUTER COLLEGE- DAVAO CITY,0.00%
ANDRES BONIFACIO COLLEGE,42.86%
ATENEO DE DAVAO UNIVERSITY,100.00%
AURORA STATE COLLEGE OF TECHNOLOGY,44.44%
BALIUAG UNIVERSITY (BALIUAG COLLEGES),66.67%
BATAAN HEROES MEMORIAL COLLEGE,100.00%
BATAAN PENINSULA STATE U- MAIN CAMPUS(FOR BNSAT),57.41%
BATANGAS STATE UNIVERSITY- BATANGAS CITY (PBMIT),96.30%
BICOL STATE COLLEGE OF APPLIED SCIENCES AND TECH- (FOR CSPC),68.42%
BICOL UNIVERSITY IND'L TECH.(BUCIT)-LEGAZPI,0.00%
BICOL UNIVERSITY-LEGAZPI,74.23%
BOHOL ISLAND STATE UNIVERSITY (FOR.CVSCAFT)- TAGBILARAN,96.15%
BULACAN STATE UNIVERSITY (for.BCAT)-MALOLOS,70.41%
CAGAYAN DE ORO COLLEGE,66.67%
CAGAYAN STATE UNIVERSITY- ANDREWS CAMPUS(TUG),50.00%
CAGAYAN STATE UNIVERSITY- TUGUEGARAO,97.78%
CAMARINES NORTE STATE COLLEGE-DAET,96.00%
CAMARINES SUR POLYTECHNIC COLLEGE-NABUA,62.50%
CAMIGUIN POLYTECHNIC STATE COLLEGE,100.00%
CAPIZ STATE UNIVERSITY (CIT)(PSPC)-MAIN CAMPUS,45.45%
"CARAGA STATE UNIVERSITY- CABADBARAN, AGUSAN DEL NORTE",100.00%
CAVITE STATE UNIVERSITY (CAVITE C.A.T)-ROSARIO,58.33%
CAVITE STATE UNIVERSITY (DON SEVERINO AGR'L. COLL.),95.24%
CEBU INSTITUTE OF TECHNOLOGY,63.33%
CEBU TECHNOLOGICAL UNIVERSITY-MAIN (for.CSCST),55.56%
CENTRAL COLLEGES OF THE PHILIPPINES,40.00%
CENTRAL MINDANAO UNIVERSITY,88.57%
CENTRAL PHILIPPINE UNIVERSITY,62.50%
COLEGIO DE DAGUPAN (for.COMPUTRONIX COLL),32.00%
COLEGIO DE LA PURISIMA CONCEPCION,33.33%
COLEGIO DE SAN JUAN DE LETRAN-ABUCAY,75.00%
COLEGIO DE SAN JUAN DE LETRAN-CALAMBA,66.67%
COLUMBAN COLLEGE-OLONGAPO CITY,62.50%
DE LA SALLE UNIVERSITY- DASMARIÑAS,100.00%
DE LA SALLE UNIVERSITY-LIPA,92.86%
DEVERA INSTITUTE OF TECHNOLOGY,0.00%
DIVINE WORD COLLEGE OF LAOAG,100.00%
DIVINE WORD COLLEGE OF LEGAZPI,50.00%
DON HONORIO VENTURA TECHNOLOGICAL STATE UNIVERSITY,67.92%
DON MARIANO MARCOS MEMORIAL STATE UNIVERSITY- SAN FERNANDO,74.70%
EASTERN SAMAR STATE UNIVERSITY - BORONGAN,33.33%
EASTERN VISAYAS STATE UNIVERSITY (for.L.I.T.)TACLOBAN,56.25%
EMILIO AGUINALDO COLLEGE- DASMARIÑAS,0.00%
EULOGIO (AMANG) RODRIGUEZ INSTITUTE OF SCIENCE & TECHNOLOGY,35.48%
FAR EASTERN UNIVERSITY- MANILA,14.29%
FEATI UNIVERSITY,0.00%
FEU-INSTITUTE OF TECHNOLOGY(FOR. FEU-EAST ASIA COLL),65.12%
FLORENCIO L. VARGAS COLLEGE- ABULUG,50.00%
FLORENCIO L. VARGAS COLLEGE- TUGUEGARAO,0.00%
GARCIA COLLEGE OF TECHNOLOGY,0.00%
GOLDEN GATE COLLEGES,16.67%
HOLY ANGEL UNIVERSITY,82.05%
ISABELA STATE UNIVERSITY- ILAGAN,64.29%
JOSE RIZAL MEMORIAL STATE UNIVERSITY-DAPITAN,75.00%
LA SALLE UNIVERSITY (for.IMMA.CONCEPCION-LA SALLE),100.00%
LAGUNA STATE POLYTECHNIC UNIV-SN PABLO(LSPC),55.56%
LAGUNA STATE POLYTECHNIC UNIV-STA CRUZ (LSPC),58.14%
LEYTE INSTITUTE OF TECHNOLOGY (for.OCSAT),41.67%
LEYTE INSTITUTE OF TECHNOLOGY-ORMOC CAMPUS,33.33%
LICEO DE CAGAYAN UNIVERSITY,0.00%
LYCEUM NORTHWESTERN UNIV- DAGUPAN CITY,29.41%
LYCEUM OF ILIGAN FOUNDATION,0.00%
"LYCEUM OF THE PHILIPPINES - GEN TRIAS, CAVITE",100.00%
LYCEUM OF THE PHILIPPINES UNIVERSITY-MANILA,55.56%
LYCEUM OF THE PHILIPPINES- LAGUNA (for.LYCEUM INST.OF TECH),83.33%
MAHARDIKA INSTITUTE OF TECHNOLOGY,18.18%
MALAYAN COLLEGES LAGUNA,100.00%
MANUEL L. QUEZON UNIVERSITY,0.00%
MANUEL S. ENVERGA UNIV. FOUNDATION-LUCENA CITY,75.00%
MAPUA INSTITUTE OF TECHNOLOGY-MANILA,68.97%
