SCHOOL,% PASSED
LAGUNA STATE POLYTECHNIC UNIV-STA CRUZ (LSPC),32.84%
LAS PIÑAS COLLEGE,0.00%
LEYTE INSTITUTE OF TECHNOLOGY (for.OCSAT),21.43%
LICEO DE CAGAYAN UNIVERSITY,15.15%
LYCEUM NORTHWESTERN UNIV- DAGUPAN CITY,3.57%
LYCEUM OF APARRI,33.33%
"LYCEUM OF THE PHILIPPINES - GEN TRIAS, CAVITE",38.24%
MALAYAN COLLEGES LAGUNA,70.83%
MANUEL L. QUEZON UNIVERSITY,28.95%
MANUEL S. ENVERGA UNIV. FOUNDATION-LUCENA CITY,32.65%
MAPUA INSTITUTE OF TECHNOLOGY-MANILA,64.23%
MARIANO MARCOS STATE UNIVERSITY-BATAC,41.98%
MARINDUQUE STATE COLLEGE- BOAC,35.71%
MATI COMMUNITY COLLEGE,0.00%
MEDINA COLLEGE-OZAMIS CITY,0.00%
MINDANAO POLYTECHNIC STATE COLLEGE (DMMMPSC),50.00%
MINDANAO STATE UNIVERSITY- GEN. SANTOS CITY,44.83%
MINDANAO STATE UNIVERSITY- ILIGAN INSTITUTE OF TECHNOLOGY,55.32%
MINDANAO STATE UNIVERSITY- MARAWI CITY,48.81%
MINDANAO UNIVERSITY OF SCIENCE & TECHNOLOGY-CDO,52.00%
MINDANAO UNIVERSITY OF SCIENCE AND TECHNOLOGY,0.00%
MISAMIS INSTITUTE OF TECHNOLOGY,0.00%
SCHOOL,
,% PASSED
MISAMIS UNIVERSITY-OZAMIS CITY,27.03%
MOUNTAIN PROV. STATE POLYTECHNIC COLLEGE-TADIAN,13.16%
NAGA COLLEGE FOUNDATION,25.00%
NATIONAL UNIVERSITY-MANILA,56.86%
NAVAL STATE UNIVERSITY (for.NAVAL INST)-NAVAL,28.95%
NEGROS ORIENTAL STATE UNIVERSITY (CVPC)-DUMAGUETE,53.33%
NEW ERA UNIVERSITY,46.38%
NORTHERN ILOILO POLYTECHNIC STATE COLLEGE-ESTANCIA,50.00%
NORTHWEST SAMAR STATE UNIVERSITY (FOR.TIBURCIO TANCINCO),28.95%
NORTHWESTERN UNIVERSITY,23.53%
"NOTRE DAME OF DADIANGAS UNIVERSITY, INC",36.36%
NOTRE DAME OF KIDAPAWAN COLLEGE,10.00%
NOTRE DAME OF MARBEL UNIVERSITY,28.57%
NOTRE DAME UNIVERSITY,26.32%
NUEVA ECIJA UNIVERSITY OF SCIENCE & TECHNOLOGY- CABANATUAN),38.04%
