SCHOOL,% PASSED
ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)-BANGUED,21.43%
ABRA VALLEY COLLEGE,0.00%
ADAMSON UNIVERSITY,35.71%
AKLAN CATHOLIC COLLEGE-(FOR AKLAN COLLEGE)-KALIBO,100.00%
AKLAN STATE UNIVERSITY-KALIBO,50.00%
ALDERSGATE COLLEGE,15.38%
ANDRES BONIFACIO COLLEGE,6.90%
ANGELES UNIVERSITY FOUNDATION,50.00%
APAYAO STATE COLLEGE- CONNER,25.00%
AQUINAS UNIVERSITY,25.00%
ARAULLO UNIVERSITY,43.75%
ASIA PACIFIC COLLEGE OF ADVANCED STUDIES,0.00%
ASIAN DEVELOPMENT FOUNDATION COLLEGE,25.00%
ATENEO DE DAVAO UNIVERSITY,81.82%
ATENEO DE NAGA UNIVERSITY,55.00%
AURORA STATE COLLEGE OF TECHNOLOGY,33.33%
BAGUIO CENTRAL UNIVERSITY,30.56%
BALIUAG UNIVERSITY (BALIUAG COLLEGES),17.65%
BATAAN HEROES MEMORIAL COLLEGE,0.00%
"BATAAN PENINSULA STATE U- DINALUPIHAN-(FOR BATAAN SC,TC)",0.00%
BATAAN PENINSULA STATE U- MAIN CAMPUS(FOR BNSAT),27.42%
BATAAN PENINSULA STATE UNIVERSITY-BALANGA,33.33%
BATANGAS STATE UNIVERSITY - ALANGILAN,33.33%
BATANGAS STATE UNIVERSITY- BATANGAS CITY (PBMIT),23.08%
BICOL UNIVERSITY IND'L TECH.(BUCIT)-LEGAZPI,66.67%
BICOL UNIVERSITY-LEGAZPI,23.91%
BOHOL INSTITUTE OF TECHNOLOGY-TAGBILARAN CITY,100.00%
BOHOL ISLAND STATE UNIVERSITY (FOR.CVSCAFT)- TAGBILARAN,68.42%
BULACAN STATE UNIVERSITY (for.BCAT)-MALOLOS,30.65%
CAGAYAN DE ORO COLLEGE,42.86%
CAGAYAN STATE UNIVERSITY- CARITAN,50.00%
CAGAYAN STATE UNIVERSITY- TUGUEGARAO,34.15%
CAMARINES NORTE STATE COLLEGE-DAET,23.53%
CAMARINES SUR POLYTECHNIC COLLEGE-NABUA,25.00%
CAPITOL UNIVERSITY (for.CAGAYAN CAPITOL COLL.),36.36%
CAPIZ STATE UNIVERSITY (CIT)(PSPC)-MAIN CAMPUS,14.29%
CARLOS A. HILADO MEMORIAL STATE COLLEGE-TALISAY,75.00%
CATANDUANES STATE UNIVERSITY - VIRAC,35.71%
CAVITE STATE UNIVERSITY (DON SEVERINO AGR'L. COLL.),33.33%
CEBU INSTITUTE OF TECHNOLOGY,40.37%
CEBU STATE COLLEGE OF SCIENCE & TECHNOLOGY SYSTEM(for.CSAT),100.00%
CEBU TECHNOLOGICAL UNIVERSITY-MAIN (for.CSCST),74.19%
CENTRAL COLLEGES OF THE PHILIPPINES,29.79%
CENTRAL LUZON STATE UNIVERSITY,33.78%
CENTRAL MINDANAO COLLEGES,17.65%
CENTRAL MINDANAO UNIVERSITY,53.19%
CENTRAL PHILIPPINE ADVENTIST COLLEGE,28.57%
CENTRAL PHILIPPINE UNIVERSITY,65.38%
COLEGIO DE KIDAPAWAN(for N.COTABATO IT),0.00%
COLEGIO DE LA PURISIMA CONCEPCION,5.00%
COLEGIO DE SAN ANTONIO DE PADUA,0.00%
COLUMBAN COLLEGE-OLONGAPO CITY,69.57%
COR JESU COLLEGE (HOLY CROSS OF DIGOS),6.25%
COTABATO CITY STATE POLYTECHNIC COLLEGE,19.40%
DAVAO ORIENTAL STATE COLLEGE OF SCIENCE & TECHNOLOGY,30.77%
DE LA SALLE UNIVERSITY- COLLEGE OF SAINT BENILDE,100.00%
DE LA SALLE UNIVERSITY- DASMARIÑAS,0.00%
DE LA SALLE UNIVERSITY-MANILA,81.90%
DIVINE WORD COLLEGE OF CALAPAN,34.78%
DIVINE WORD COLLEGE OF LAOAG,0.00%
DIVINE WORD COLLEGE OF LEGAZPI,25.00%
DIVINE WORD UNIVERSITY- TACLOBAN,0.00%
DON HONORIO VENTURA TECHNOLOGICAL STATE UNIVERSITY,33.71%
DON JOSE ECLEO MEMORIAL EDUCATIONAL FOUNDATION,0.00%
EASTERN SAMAR STATE UNIVERSITY - BORONGAN,34.88%
EASTERN SAMAR STATE UNIVERSITY - GUIUAN CAMPUS,25.00%
EASTERN VISAYAS STATE UNIV. (for. L.I.T.)-ORMOC CAMPUS,15.79%
EASTERN VISAYAS STATE UNIV. (for. L.I.T.)-TANAUAN CAMPUS,14.29%
EASTERN VISAYAS STATE UNIVERSITY (for.L.I.T.)TACLOBAN,23.08%
EMILIO AGUINALDO COLLEGE- DASMARIÑAS,50.00%
EULOGIO (AMANG) RODRIGUEZ INSTITUTE OF SCIENCE & TECHNOLOGY,13.64%
FAR EASTERN UNIVERSITY- MANILA,50.00%
FATHER SATURNINO URIOS UNIVERSITY (URIOS COLL),7.14%
FEATI UNIVERSITY,12.50%
FELLOWSHIP BAPTIST COLLEGE,27.27%
FEU-INSTITUTE OF TECHNOLOGY(FOR. FEU-EAST ASIA COLL),49.02%
FLORENCIO L. VARGAS COLLEGE- TUGUEGARAO,15.38%
GARCIA COLLEGE OF TECHNOLOGY,48.48%
GOLDEN WEST COLLEGES,0.00%
GUAGUA NATIONAL COLLEGES,70.00%
HOLY ANGEL UNIVERSITY,36.17%
HOLY NAME UNIVERSITY (for.DIVINE WORD-TAGBILARAN),40.00%
HOLY TRINITY COLLEGE OF PUERTO PRINCESA,41.67%
IFUGAO STATE UNIVERSITY (for. IFUGAO SCAF)-LAGAWE,16.67%
ISABELA STATE UNIVERSITY- ECHAGUE,29.63%
ISABELA STATE UNIVERSITY- ILAGAN,51.35%
JOHN PAUL COLLEGE,0.00%
JOSE MARIA COLLEGE,18.75%
JOSE RIZAL MEMORIAL STATE UNIVERSITY-DAPITAN,25.00%
JOSEFINA  H. CERILLES STATE COLLEGE-GUIPOS,0.00%
JOSEFINA H. CERILLES STATE COLLEGE-MAIN-MATI(JHCPC),0.00%
KALINGA APAYAO STATE COLLEGE (KALINGA COMM. COLL.),10.00%
LA SALLE UNIVERSITY (for.IMMA.CONCEPCION-LA SALLE),46.67%
LAGUNA COLLEGE,14.29%
LAGUNA STATE POLYTECHNIC UNIV-STA CRUZ (LSPC),27.50%
LEYTE INSTITUTE OF TECHNOLOGY (for.OCSAT),0.00%
LICEO DE CAGAYAN UNIVERSITY,12.50%
LYCEUM NORTHWESTERN UNIV- DAGUPAN CITY,5.88%
LYCEUM OF APARRI,14.29%
"LYCEUM OF THE PHILIPPINES - GEN TRIAS, CAVITE",37.93%
LYCEUM OF THE PHILIPPINES UNIVERSITY-MANILA,0.00%
MALAYAN COLLEGES LAGUNA,81.48%
MANUEL L. QUEZON UNIVERSITY,28.57%
MANUEL S. ENVERGA UNIV. FOUNDATION-LUCENA CITY,25.93%
MAPUA INSTITUTE OF TECHNOLOGY-MANILA,79.05%
MARIANO MARCOS STATE UNIVERSITY-BATAC,52.31%
MARINDUQUE STATE COLLEGE- BOAC,40.87%
MINDANAO POLYTECHNIC STATE COLLEGE (DMMMPSC),33.33%
MINDANAO STATE UNIVERSITY- GEN. SANTOS CITY,55.00%
MINDANAO STATE UNIVERSITY- ILIGAN INSTITUTE OF TECHNOLOGY,44.44%
MINDANAO STATE UNIVERSITY- MARAWI CITY,45.24%
MINDANAO UNIVERSITY OF SCIENCE & TECHNOLOGY-CDO,30.61%
MINDANAO UNIVERSITY OF SCIENCE AND TECHNOLOGY,100.00%
MISAMIS INSTITUTE OF TECHNOLOGY,0.00%
MISAMIS UNIVERSITY-OZAMIS CITY,43.48%
MOUNTAIN PROV. STATE POLYTECHNIC COLLEGE-TADIAN,16.00%
NAGA COLLEGE FOUNDATION,0.00%
NATIONAL UNIVERSITY-MANILA,62.79%
NAVAL STATE UNIVERSITY (for.NAVAL INST) BILIRAN,100.00%
NAVAL STATE UNIVERSITY (for.NAVAL INST)-NAVAL,50.00%
NEGROS ORIENTAL STATE UNIVERSITY (CVPC)-DUMAGUETE,63.64%
NEW ERA UNIVERSITY,36.96%
NORTHERN ILOILO POLYTECHNIC STATE COLLEGE-ESTANCIA,50.00%
NORTHWEST SAMAR STATE UNIVERSITY (FOR.TIBURCIO TANCINCO),25.81%
NORTHWESTERN UNIVERSITY,14.29%
"NOTRE DAME OF DADIANGAS UNIVERSITY, INC",100.00%
NOTRE DAME OF KIDAPAWAN COLLEGE,12.50%
NOTRE DAME OF MARBEL UNIVERSITY,16.67%
NOTRE DAME UNIVERSITY,34.04%
NUEVA ECIJA UNIVERSITY OF SCIENCE & TECHNOLOGY- CABANATUAN),26.92%
NUEVA ECIJA UNIVERSITY OF SCIENCE & TECHNOLOGY- GABALDON),100.00%
NUEVA VIZCAYA STATE UNIVERSITY (NVSIT)-BAYOMBONG,28.00%
"OUR LADY OF FATIMA UNIVERSITY-PAMPANGA,INC(FOR EAST CC. INC)",28.57%
"PALAWAN POLYTECHNIC COLLEGE, INC.",66.67%
