SCHOOL,% PASSED
ABADA COLLEGE,13.54%
ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)-BANGUED,31.11%
ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)-LAGANGILANG,21.43%
ABRA VALLEY COLLEGE,5.00%
ABUBAKAR COMPUTER LEARNING CENTER,0.00%
ABUYOG COMMUNITY COLLEGE,43.90%
ACADEMIA DE SAN LORENZO DEMA-ALA,20.00%
ACES TAGUM COLLEGE,11.76%
ADAMSON UNIVERSITY,75.00%
ADELPHI COLLEGE,17.65%
ADIONG MEMORIAL COLLEGE FOUNDATION,0.00%
ADIONG MEMORIAL POLYTECHNIC STATE COLLEGE,12.96%
ADVENTIST UNIVERSITY OF THE PHILIPPINES,54.55%
AEMILIANUM INSTITUTE,60.00%
"AGONCILLO COLLEGE, INC",11.11%
AGRO-INDUSTRIAL FOUNDATION COLLEGES OF THE PHILIPPINES,21.43%
AGUILAR COLLEGE FOUNDATION,0.00%
AGUSAN COLLEGES,14.29%
AGUSAN DEL SUR COLLEGE,23.73%
AGUSAN DEL SUR STATE COLLEGE OF AGRICULTURE & TECHNOLOGY,30.12%
AGUSAN INSTITUTE OF TECHNOLOGY,11.11%
AKLAN CATHOLIC COLLEGE-(FOR AKLAN COLLEGE)-KALIBO,25.00%
AKLAN STATE UNIVERSITY(AKLAN S.C.A.)-BANGA,71.43%
AKLAN STATE UNIVERSITY-IBAJAY,38.10%
AKLAN STATE UNIVERSITY-KALIBO,0.00%
AKLAN STATE UNIVERSITY- NATIONAL COLLEGE OF FISHERIES,25.00%
AKLAN STATE UNIVERSITY-NEW WASHINGTON,20.00%
ALANGALANG AGRO INDUSTRIAL SCHOOL,0.00%
ALDERSGATE COLLEGE,0.00%
ALEJANDRO COLLEGE,25.00%
"ALEMARZ SCH. OF SCIENCE & TECH FOUND INC.- VALENCIA,BUKIDNON",0.00%
ALFELOR SR. MEMORIAL COLLEGE,19.51%
ALITAGTAG COLLEGE,100.00%
ALTAVAS COLLEGE,20.00%
AMA COMPUTER COLLEGE- ZAMBOANGA CITY,50.00%
AMANDO COPE COLLEGE,100.00%
ANDRES BONIFACIO COLLEGE,16.67%
ANDRES SORIANO COLLEGE,8.16%
ANDRES SORIANO MEMORIAL COLLEGE,33.33%
ANGELES UNIVERSITY FOUNDATION,37.50%
ANNUNCIATION COLLEGE,22.22%
"ANTONIO R. PACHECO COLLEGE, INC",18.13%
APAYAO STATE COLLEGE- CONNER,15.38%
APAYAO STATE COLLEGE-LUNA CAMPUS,52.63%
AQUINAS UNIVERSITY,28.57%
ARAULLO UNIVERSITY,8.67%
ARELLANO UNIVERSITY-MALABON,30.77%
ARELLANO UNIVERSITY-MANILA,20.00%
ARELLANO UNIVERSITY-PASAY,18.18%
ARELLANO UNIVERSITY-PASIG,25.00%
"ARRIESGADO COLLEGE FOUNDATION, INC.",66.67%
ASBURRY COLLEGE,40.00%
"ASIA COLLEGE OF ADVANCE STUDIES IN ARTS, SCIENCES & TECH.",29.47%
ASIA PACIFIC COLLEGE OF ADVANCED STUDIES,0.00%
ASIA SCHOOL OF ARTS & SCIENCES,60.00%
ASIAN COLLEGES AND TECHNOLOGICAL INST. INC- NORTH COTABATO,45.45%
ASIAN DEVELOPMENT FOUNDATION COLLEGE,50.00%
ASIAN POLYTECHNIC COLLEGE,0.00%
ASIAN SEMINARY OF CHRISTIAN MINISTRIES,100.00%
ASSUMPTION COLLEGE OF DAVAO,60.00%
ASSUMPTION COLLEGE OF NABUNTURAN,7.14%
ASSUMPTION COLLEGE-MAKATI,100.00%
ATENEO DE MANILA UNIVERSITY- Q.C.,100.00%
ATENEO DE NAGA UNIVERSITY,53.85%
ATENEO DE ZAMBOANGA,57.14%
AURORA PIONEERS MEMORIAL COLLEGE,0.00%
AURORA STATE COLLEGE OF TECHNOLOGY,100.00%
"AVE MARIA COLLEGE - VALLESVILLE-FATIMA, LILOY ZDN",40.00%
BACOLOD CITY COLLEGE,66.67%
BAGO CITY COLLEGE,42.35%
BAGUIO CENTRAL UNIVERSITY,25.00%
BALABAGAN TRADE SCHOOL,0.00%
BALAYAN COLLEGES,50.00%
BALETE COMMUNITY COLLEGE,27.27%
BALITE INSTITUTE OF TECHNOLOGY,0.00%
BALIUAG UNIVERSITY (BALIUAG COLLEGES),30.36%
"BALIWAG POLYTECHNIC COLLEGE-BALIUAG, BULACAN",61.54%
"BALUD MUNICIPAL COLLEGE- BALUD, MASBATE",45.45%
BANTAYAN SOUTHERN INSTITUTE,25.00%
BAPTIST VOICE BIBLE COLLEGE,100.00%
BASILAN STATE COLLEGE,13.33%
"BATAAN PENINSULA STATE U- DINALUPIHAN-(FOR BATAAN SC,TC)",29.73%
BATAAN PENINSULA STATE U- MAIN CAMPUS(FOR BNSAT),30.00%
BATAAN PENINSULA STATE UNIVERSITY-BAGAC,45.45%
BATAAN PENINSULA STATE U- ORANI (FOR BPSC),46.15%
BATAN INTEGRATED COLLEGE OF TECH.(FOR.BATAN COMM.COLL),50.00%
BATANES POLYTECHNIC COLLEGE,0.00%
BATANGAS EASTERN ACADEMY,20.00%
BATANGAS STATE UNIVERSITY (for. JPLPC)-MALVAR,45.45%
BATANGAS STATE UNIVERSITY- ARASOF-NASUGBU,24.24%
BATANGAS STATE UNIVERSITY- BATANGAS CITY (PBMIT),40.48%
BATO INSTITUTE OF SCIENCE & TECHNOLOGY,50.00%
BATUAN COLLEGES INC.,50.00%
BAYAWAN COLLEGE,14.29%
BENGUET STATE UNIVERSITY- BOKOD,52.94%
BENGUET STATE UNIVERSITY- BUGUIAS-LOO,40.00%
BENGUET STATE UNIVERSITY-LA TRINIDAD,58.06%
BERNARDO COLLEGE,50.00%
BICOL COLLEGE,16.98%
BICOL INSTITUTE OF SCIENCE & TECHNOLOGY,0.00%
BICOL UNIVERSITY-DARAGA,46.43%
BICOL UNIVERSITY-GUBAT,38.46%
BICOL UNIVERSITY-LEGAZPI,15.00%
BICOL UNIVERSITY-POLANGUI,44.83%
BICOL UNIVERSITY-TABACO,33.33%
BINALATONGAN COMMUNITY COLLEGE,41.67%
BINALBAGAN CATHOLIC COLLEGE,43.48%
"BLANCIA CARREON COLLEGE FOUNDATION, INC.",20.00%
"BLESSED MOTHER COLLEGE, INC",66.67%
BLESSED TRINITY COLLEGE,50.00%
BOHOL INSTITUTE OF TECHNOLOGY-CARMEN,0.00%
BOHOL INSTITUTE OF TECHNOLOGY-JAGNA,33.33%
BOHOL INSTITUTE OF TECHNOLOGY-TAGBILARAN CITY,36.36%
BOHOL INSTITUTE OF TECHNOLOGY-TALIBON,41.94%
BOHOL ISLAND STATE UNIVERSITY (FOR.CVSCAFT)- BILAR,18.18%
BOHOL ISLAND STATE UNIVERSITY (FOR.CVSCAFT)- CALAPE,50.00%
