SCHOOL,% PASSED
ADAMSON UNIVERSITY,48.15%
AKLAN STATE UNIVERSITY-KALIBO,33.33%
AQUINAS UNIVERSITY,31.71%
ARAULLO UNIVERSITY,14.29%
ATENEO DE DAVAO UNIVERSITY,72.73%
BATAAN PENINSULA STATE UNIVERSITY-BALANGA (for.BATAAN P.S),66.67%
BATANGAS STATE UNIVERSITY- BATANGAS CITY (PBMIT),54.55%
BICOL UNIVERSITY IND'L TECH.(BUCIT)-LEGAZPI,0.00%
BICOL UNIVERSITY-LEGAZPI,66.67%
BOHOL ISLAND STATE UNIVERSITY (FOR.CVSCAFT)-TAGBILARAN,83.33%
BULACAN STATE UNIVERSITY (for.BCAT)-MALOLOS,50.00%
CAGAYAN DE ORO COLLEGE,14.29%
CAMARINES SUR POLYTECHNIC COLLEGES(BICAT)-NAGA,43.75%
CAPIZ STATE UNIVERSITY (CIT)(PSPC)-MAIN CAMPUS,37.50%
CAVITE STATE UNIVERSITY (DON SEVERINO AGR'L. COLL.),100.00%
CEBU INSTITUTE OF TECHNOLOGY,56.41%
CENTRAL COLLEGES OF THE PHILIPPINES,18.52%
COLUMBAN COLLEGE-OLONGAPO CITY,57.14%
DE LA SALLE UNIVERSITY- DASMARINAS,50.00%
DIVINE WORD COLLEGE OF LAOAG,50.00%
DON HONORIO VENTURA TECHNOLOGICAL STATE UNIVERSITY,31.75%
EASTERN VISAYAS STATE UNIVERSITY (for.L.I.T.)TACLOBAN,35.14%
EULOGIO (AMANG) RODRIGUEZ INSTITUTE OF SCIENCE & TECHNOLOGY,38.10%
FAR EASTERN UNIVERSITY-MANILA,37.89%
FEATI UNIVERSITY,37.50%
FOUNDATION UNIVERSITY,0.00%
HOLY ANGEL UNIVERSITY,54.55%
ISABELA STATE UNIVERSITY-ILAGAN,100.00%
LA CONSOLACION COLLEGE- BACOLOD CITY,22.22%
LOURDES COLLEGE OF BULACAN,0.00%
LYCEUM NORTHWESTERN-DAGUPAN CITY,50.00%
MANUEL L. QUEZON UNIVERSITY,41.18%
MANUEL S. ENVERGA UNIV. FOUNDATION-LUCENA CITY,26.32%
MAPUA INSTITUTE OF TECHNOLOGY- MANILA,68.97%
MINDANAO POLYTECHNIC STATE COLLEGE (DMMMPSC),100.00%
MINDANAO UNIVERSITY OF SCIENCE & TECHNOLOGY-CDO,100.00%
NATIONAL UNIVERSITY-MANILA,42.86%
NEGROS ORIENTAL STATE UNIVERSITY (CVPC)-DUMAGUETE,55.56%
NORTHWESTERN UNIVERSITY,44.44%
"NOTRE DAME OF DADIANGAS UNIVERSITY, INC",0.00%
NOTRE DAME OF MARBEL UNIVERSITY,50.00%
"NUEVA ECIJA UNIVERSITY OF SCIENCE & TECHNOLOGY-
CABANATUAN)",21.43%
PALAWAN STATE UNIVERSITY-P. PRINCESA,50.00%
PAMANTASAN NG LUNGSOD NG MAYNILA,77.78%
PHILIPPINE COLLEGE OF SCIENCE & TECHNOLOGY-CALASIAO,100.00%
POLYTECHNIC UNIVERSITY OF THE PHILIPPINES-MAIN-STA. MESA,72.73%
RIZAL TECHNOLOGICAL UNIVERSITY,42.86%
SAINT JOSEPH INSTITUTE OF TECHNOLOGY,60.00%
SAINT LOUIS COLLEGE OF SAN FERNANDO,33.33%
SAINT LOUIS UNIVERSITY,69.70%
SAINT MARY'S UNIVERSITY,20.00%
SORSOGON STATE COLLEGE- SORSOGON,33.33%
SURIGAO EDUCATION CENTER,0.00%
TARLAC STATE UNIVERSITY  (TARLAC COLLEGE OF TECH.),61.90%
TECHNOLOGICAL INSTITUTE OF THE PHILIPPINES-MANILA,40.54%
TECHNOLOGICAL INSTITUTE OF THE PHILIPPINES-QUEZON CITY,33.33%
TECHNOLOGICAL UNIVERSITY OF THE PHILIPPINES-MANILA,65.12%
UNIVERSITY OF ANTIQUE-SIBALOM,0.00%
UNIVERSITY OF BAGUIO,71.43%
UNIVERSITY OF BOHOL,56.00%
UNIVERSITY OF LUZON (LUZON COLL.),0.00%
UNIVERSITY OF MINDANAO-DAVAO CITY,38.30%
UNIVERSITY OF MINDANAO-GUIANGA JUNIOR COLLEGE,0.00%
UNIVERSITY OF NORTHEASTERN PHILIPPINES,37.50%
UNIVERSITY OF NORTHERN PHILIPPINES-VIGAN,87.50%
UNIVERSITY OF NUEVA CACERES,33.33%
UNIVERSITY OF PANGASINAN,14.81%
UNIVERSITY OF SAINT ANTHONY,28.57%
UNIVERSITY OF SAINT LOUIS- TUGUEGARAO,63.64%
UNIVERSITY OF SAN AGUSTIN,17.65%
UNIVERSITY OF SAN CARLOS,84.62%
UNIVERSITY OF SANTO TOMAS,79.09%
UNIVERSITY OF SOUTHERN PHILIPPINES,50.00%
UNIVERSITY OF THE ASSUMPTION,20.00%
UNIVERSITY OF THE CORDILLERAS (for.BAGUIO C.F.),82.35%
UNIVERSITY OF THE PHILIPPINES- DILIMAN,100.00%
UNIVERSITY OF THE PHILIPPINES- MINDANAO,100.00%
UNIVERSITY OF THE VISAYAS-CEBU CITY,15.79%
WESTERN MINDANAO STATE U- ZAMBOANGA CITY,53.85%
WESTERN VISAYAS COLLEGE OF SCIENCE & TECHNOLOGY-LA PAZ,0.00%
