SCHOOL,% PASSED
ADAMSON UNIVERSITY,52.83%
AKLAN STATE UNIVERSITY-KALIBO,75.00%
AQUINAS UNIVERSITY,22.50%
ARAULLO UNIVERSITY,0.00%
ATENEO DE DAVAO UNIVERSITY,62.50%
"BATAAN PENINSULA STATE
UNIVERSITY-BALANGA (for.BATAAN P.S)",45.45%
BATANGAS STATE UNIVERSITY- BATANGAS CITY,43.75%
BICOL UNIVERSITY-LEGAZPI,51.35%
BULACAN STATE UNIVERSITY (for.BCAT)-MALOLOS,42.50%
CAGAYAN DE ORO COLLEGE,22.22%
CAMARINES SUR POLYTECHNIC COLLEGES(BICAT)-NAGA,68.75%
CAPIZ STATE UNIVERSITY (CIT)(PSPC)-MAIN CAMPUS,37.50%
CEBU INSTITUTE OF TECHNOLOGY,41.94%
CENTRAL COLLEGES OF THE PHILIPPINES,19.35%
COLUMBAN COLLEGE-OLONGAPO CITY,60.00%
DE LA SALLE UNIVERSITY- DASMARIÑAS,100.00%
DIVINE WORD COLLEGE OF LAOAG,11.11%
DON HONORIO VENTURA TECHNOLOGICAL STATE UNIVERSITY,37.93%
EASTERN VISAYAS STATE UNIVERSITY (for.LIT)TACLOBAN,40.91%
"EULOGIO (AMANG) RODRIGUEZ INSTITUTE OF SCIENCE &
TECHNOLOGY",27.78%
FAR EASTERN UNIVERSITY-MANILA,44.87%
FEATI UNIVERSITY,18.18%
HOLY ANGEL UNIVERSITY,88.24%
ISABELA STATE UNIVERSITY-ILAGAN,50.00%
LA CONSOLACION COLLEGE- BACOLOD CITY,32.35%
LYCEUM NORTHWESTERN-DAGUPAN CITY,0.00%
LYCEUM OF ILIGAN FOUNDATION,0.00%
MANUEL L. QUEZON UNIVERSITY,33.33%
MANUEL S. ENVERGA UNIV. FOUNDATION-LUCENA CITY,22.22%
MAPUA INSTITUTE OF TECHNOLOGY- MANILA,61.22%
MINDANAO POLYTECHNIC STATE COLLEGE (DMMMPSC),0.00%
MINDANAO UNIVERSITY OF SCIENCE & TECHNOLOGY-CDO,75.00%
NATIONAL UNIVERSITY-MANILA,22.22%
NEGROS ORIENTAL STATE UNIVERSITY (CVPC)-DUMAGUETE,20.00%
NORTHWESTERN UNIVERSITY,37.50%
NOTRE DAME OF DADIANGAS COLLEGE,50.00%
NOTRE DAME OF MARBEL UNIVERSITY,100.00%
"NUEVA ECIJA UNIVERSITY OF
SCIENCE & TECHNOLOGY- CABANATUAN)",50.00%
PALAWAN STATE UNIVERSITY-P. PRINCESA,77.78%
PAMANTASAN NG LUNGSOD NG MAYNILA,66.67%
PANGASINAN STATE UNIVERSITY- URDANETA,100.00%
POLYTECHNIC UNIVERSITY OF THE PHILIPPINES-MAIN-STA. MESA,72.50%
RIZAL TECHNOLOGICAL UNIVERSITY,50.00%
SAINT JOSEPH INSTITUTE OF TECHNOLOGY,42.86%
SAINT LOUIS COLLEGE OF SAN FERNANDO,50.00%
SAINT LOUIS UNIVERSITY,70.00%
SAINT MARY'S UNIVERSITY,50.00%
SORSOGON STATE COLLEGE- SORSOGON,20.00%
SURIGAO EDUCATION CENTER,100.00%
TARLAC STATE UNIVERSITY  (TARLAC COLLEGE OF TECH.),20.00%
TECHNOLOGICAL INSTITUTE OF THE PHILIPPINES-MANILA,26.32%
TECHNOLOGICAL INSTITUTE OF THE PHILIPPINES-QUEZON CITY,32.86%
TECHNOLOGICAL UNIVERSITY OF THE PHILIPPINES-MANILA,58.00%
UNIVERSITY OF BAGUIO,42.86%
UNIVERSITY OF BOHOL,64.71%
UNIVERSITY OF LUZON (LUZON COLL.),33.33%
UNIVERSITY OF MINDANAO-DAVAO CITY,38.71%
UNIVERSITY OF NORTHEASTERN PHILIPPINES,50.00%
UNIVERSITY OF NORTHERN PHILIPPINES-VIGAN,55.56%
UNIVERSITY OF NUEVA CACERES,80.00%
UNIVERSITY OF PANGASINAN,18.75%
UNIVERSITY OF SAINT ANTHONY,20.00%
UNIVERSITY OF SAINT LOUIS- TUGUEGARAO,43.33%
UNIVERSITY OF SAN AGUSTIN,31.82%
UNIVERSITY OF SAN CARLOS,68.75%
UNIVERSITY OF SANTO TOMAS,79.15%
UNIVERSITY OF THE ASSUMPTION,50.00%
UNIVERSITY OF THE CORDILLERAS (for.BAGUIO C.F.),83.33%
UNIVERSITY OF THE PHILIPPINES- DILIMAN,100.00%
UNIVERSITY OF THE PHILIPPINES- MINDANAO,100.00%
UNIVERSITY OF THE VISAYAS-CEBU CITY,50.00%
WESTERN MINDANAO STATE U- ZAMBOANGA CITY,60.00%
WESTERN VISAYAS COLLEGE OF SCIENCE & TECHNOLOGY-LA PAZ,61.11%
